source_version,category,source_file,source_reference,section_id,heading_level,section_path,heading,classification,canonical_skill_ids,lesson_ids,review_status,notes
The Swift Programming Language (Swift 6.4 beta),publication-metadata,cover.xhtml,cover.xhtml#coverpage,cover-xhtml.001.beta-the-swift-programming-language-swift-6-4-edition-based-on-the-swift-org-source,1,Beta — The Swift Programming Language — Swift 6.4 Edition — Based on the Swift.org source,Beta — The Swift Programming Language — Swift 6.4 Edition — Based on the Swift.org source,context,,,reviewed-no-lesson,"Reviewed as publication metadata, licensing, acknowledgments, or revision history; no language-learning interaction required."
The Swift Programming Language (Swift 6.4 beta),guided-tour,GuidedTour/GuidedTourPart.xhtml,GuidedTour/GuidedTourPart.xhtml#welcome-to-swift,guidedtour-guidedtourpart-xhtml.001.welcome-to-swift,1,Welcome to Swift,Welcome to Swift,context,,,reviewed-no-lesson,Reviewed as introductory or compatibility context; no distinct interaction required.
The Swift Programming Language (Swift 6.4 beta),guided-tour,GuidedTour/AboutSwift.xhtml,GuidedTour/AboutSwift.xhtml#about-swift,guidedtour-aboutswift-xhtml.001.about-swift,1,About Swift,About Swift,context,,,reviewed-no-lesson,Reviewed as introductory or compatibility context; no distinct interaction required.
The Swift Programming Language (Swift 6.4 beta),guided-tour,GuidedTour/Compatibility.xhtml,GuidedTour/Compatibility.xhtml#version-compatibility,guidedtour-compatibility-xhtml.001.version-compatibility,1,Version Compatibility,Version Compatibility,context,,,reviewed-no-lesson,Reviewed as introductory or compatibility context; no distinct interaction required.
The Swift Programming Language (Swift 6.4 beta),guided-tour,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#a-swift-tour,guidedtour-guidedtour-xhtml.001.a-swift-tour,1,A Swift Tour,A Swift Tour,context,,,reviewed-no-lesson,Reviewed as introductory or compatibility context; no distinct interaction required.
The Swift Programming Language (Swift 6.4 beta),guided-tour,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Simple-Values,guidedtour-guidedtour-xhtml.002.simple-values,2,A Swift Tour > Simple Values,Simple Values,teachable,swift.bindings.constants|swift.bindings.type-annotations|swift.output.string-interpolation,swift.bindings.constants|swift.bindings.type-annotations|swift.output.string-interpolation,reviewed-implemented,Mapped to existing canonical lessons; no duplicate tour lesson.
The Swift Programming Language (Swift 6.4 beta),guided-tour,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Control-Flow,guidedtour-guidedtour-xhtml.003.control-flow,2,A Swift Tour > Control Flow,Control Flow,teachable,swift.conditionals.if-else|swift.loops.for-in|swift.switches.exhaustive,swift.conditionals.if-else|swift.loops.for-in|swift.switches.exhaustive,reviewed-implemented,Mapped to existing canonical lessons; no duplicate tour lesson.
The Swift Programming Language (Swift 6.4 beta),guided-tour,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Functions-and-Closures,guidedtour-guidedtour-xhtml.004.functions-and-closures,2,A Swift Tour > Functions and Closures,Functions and Closures,teachable,swift.functions.define-call|swift.closures.expression-syntax,swift.functions.define-call|swift.closures.expression-syntax,reviewed-implemented,Mapped to existing canonical lessons; no duplicate tour lesson.
The Swift Programming Language (Swift 6.4 beta),guided-tour,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Objects-and-Classes,guidedtour-guidedtour-xhtml.005.objects-and-classes,2,A Swift Tour > Objects and Classes,Objects and Classes,teachable,swift.types.class-definition|swift.initialization.basic|swift.inheritance.subclass,swift.types.class-definition|swift.initialization.basic|swift.inheritance.subclass,reviewed-implemented,Mapped to existing canonical lessons; no duplicate tour lesson.
The Swift Programming Language (Swift 6.4 beta),guided-tour,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Enumerations-and-Structures,guidedtour-guidedtour-xhtml.006.enumerations-and-structures,2,A Swift Tour > Enumerations and Structures,Enumerations and Structures,teachable,swift.enums.syntax|swift.types.structure-definition,swift.enums.syntax|swift.types.structure-definition,reviewed-implemented,Mapped to existing canonical lessons; no duplicate tour lesson.
The Swift Programming Language (Swift 6.4 beta),guided-tour,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Concurrency,guidedtour-guidedtour-xhtml.007.concurrency,2,A Swift Tour > Concurrency,Concurrency,teachable,swift.concurrency.async-function|swift.concurrency.actor,swift.concurrency.async-function|swift.concurrency.actor,reviewed-implemented,Mapped to existing canonical lessons; no duplicate tour lesson.
The Swift Programming Language (Swift 6.4 beta),guided-tour,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Protocols-and-Extensions,guidedtour-guidedtour-xhtml.008.protocols-and-extensions,2,A Swift Tour > Protocols and Extensions,Protocols and Extensions,teachable,swift.protocols.syntax|swift.extensions.syntax,swift.protocols.syntax|swift.extensions.syntax,reviewed-implemented,Mapped to existing canonical lessons; no duplicate tour lesson.
The Swift Programming Language (Swift 6.4 beta),guided-tour,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Error-Handling,guidedtour-guidedtour-xhtml.009.error-handling,2,A Swift Tour > Error Handling,Error Handling,teachable,swift.errors.throw|swift.errors.do-catch,swift.errors.throw|swift.errors.do-catch,reviewed-implemented,Mapped to existing canonical lessons; no duplicate tour lesson.
