command,lesson_id,category_id,description,first_source_line,duplicate_source_lines,safety_level
git bundle create repo.bundle --all,git.bundles.bundle-create-repo-bundle-all,git.bundles,Create a portable bundle containing every repository reference,1,"",readOnly
git gc,git.maintenance.gc,git.maintenance,Clean/optimize repository,9,"",destructiveCleanup
git maintenance,git.maintenance.maintenance,git.maintenance,Run repository maintenance tasks,10,"",readOnly
git fsck,git.maintenance.fsck,git.maintenance,Check repository object integrity,11,"",readOnly
git count-objects,git.maintenance.count-objects,git.maintenance,Show object count/disk usage,12,"",readOnly
git repack,git.maintenance.repack,git.maintenance,Repack repository objects,13,"",destructiveCleanup
git prune,git.maintenance.prune,git.maintenance,Delete unreachable objects,14,"",destructiveCleanup
git pack-refs,git.maintenance.pack-refs,git.maintenance,Pack refs for efficiency,15,"",readOnly
git diff > file.patch,git.patches.diff-file-patch,git.patches,Create basic patch,22,"",readOnly
git apply file.patch,git.patches.apply-file-patch,git.patches,Apply patch,23,"",workingTreeMutation
git format-patch,git.patches.format-patch,git.patches,Generate patches from commits,24,"",historyMutation
git am,git.patches.am,git.patches,Apply commits from mailbox patches,25,"",historyMutation
git request-pull,git.patches.request-pull,git.patches,Generate pull-request summary,26,"",readOnly
git send-email,git.patches.send-email,git.patches,Email patches,27,"",readOnly
git notes add,git.notes.notes-add,git.notes,Attach note to Git object,40,"",historyMutation
git notes show,git.notes.notes-show,git.notes,Show note,41,"",readOnly
git notes edit,git.notes.notes-edit,git.notes,Edit note,42,"",historyMutation
git notes remove,git.notes.notes-remove,git.notes,Remove note,43,"",historyMutation
git notes list,git.notes.notes-list,git.notes,List notes,44,"",readOnly
git describe,git.information.describe,git.information,Create human-readable description from tags,50,"",readOnly
git shortlog,git.information.shortlog,git.information,Summarize commit history by author,51,"",readOnly
git show-branch,git.information.show-branch,git.information,Show branches and commits,52,"",readOnly
git ls-remote,git.information.ls-remote,git.information,List refs on remote server,53,108,readOnly
git verify-commit,git.information.verify-commit,git.information,Verify GPG-signed commit,54,"",readOnly
git verify-tag,git.information.verify-tag,git.information,Verify signed tag,55,"",readOnly
git whatchanged,git.information.whatchanged,git.information,Show history with commit differences,56,"",readOnly
git annotate,git.information.annotate,git.information,Similar to blame,57,"",readOnly
git version,git.information.version,git.information,Show Git version,58,"",readOnly
git instaweb,git.information.instaweb,git.information,Browse repository using gitweb,59,"",readOnly
git apply,git.objects-index.apply,git.objects-index,Apply patch to files/index,70,"",experimentalOrSpecialized
git checkout-index,git.objects-index.checkout-index,git.objects-index,Copy files from index to working tree,71,"",experimentalOrSpecialized
git commit-graph,git.objects-index.commit-graph,git.objects-index,Write/verify commit graph,72,"",experimentalOrSpecialized
git commit-tree,git.objects-index.commit-tree,git.objects-index,Create commit object manually,73,"",experimentalOrSpecialized
git hash-object,git.objects-index.hash-object,git.objects-index,Calculate an object ID / create object,74,"",experimentalOrSpecialized
git index-pack,git.objects-index.index-pack,git.objects-index,Create index for pack file,75,"",experimentalOrSpecialized
