example_sha256,source_files,source_references,occurrence_count,lesson_ids,coverage_decision,editorial_status,compiler_status,preview
665ec7a3965d06077d0d1e96cc3b95296d4c5e8e168d47f96e4c07c477272f3c,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Concurrency,1,swift.concurrency.actor|swift.concurrency.async-function,mapped-to-canonical-lessons,pending-editorial-validation,pending-swift-6.4-toolchain,"func fetchUsername(from server: String) async -> String {
let userID = await fetchUserID(from: server)
if userID == 501 "
6b0af4da916a5c571d6cc2d37c804d1474091e172bffbdc5e2984950572c02db,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Concurrency,1,swift.concurrency.actor|swift.concurrency.async-function,mapped-to-canonical-lessons,pending-editorial-validation,pending-swift-6.4-toolchain,"func fetchUserID(from server: String) async -> Int {
if server == ""primary"" {
return 97
}
return 501
}"
7c3f0d9240542b17cbae00e748928cac5fbfd7e2038d9e7417ee3d1cbf2c0120,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Concurrency,1,swift.concurrency.actor|swift.concurrency.async-function,mapped-to-canonical-lessons,pending-editorial-validation,pending-swift-6.4-toolchain,"actor ServerConnection {
var server: String = ""primary""
private var activeUsers: [Int] = []
func connect() async -> Int "
82077e9d9706932198b94385d8b6c43170fe4cfce9856a9221d1e6b2a3901dc2,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Concurrency,1,swift.concurrency.actor|swift.concurrency.async-function,mapped-to-canonical-lessons,pending-editorial-validation,pending-swift-6.4-toolchain,"Task {
await connectUser(to: ""primary"")
}
// Prints ""Hello Guest, user ID 97""."
9f6e6d82e7f5531fe84004160634562699dbad2bb574210b9470810c6487849a,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Concurrency,1,swift.concurrency.actor|swift.concurrency.async-function,mapped-to-canonical-lessons,pending-editorial-validation,pending-swift-6.4-toolchain,"let userIDs = await withTaskGroup(of: Int.self) { group in
for server in [""primary"", ""secondary"", ""development""] {
group"
a60fbeed3a6c8aae32a3f7f80dda0b4c713a72294cec516dc0fa613bc1ccbc29,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Concurrency,1,swift.concurrency.actor|swift.concurrency.async-function,mapped-to-canonical-lessons,pending-editorial-validation,pending-swift-6.4-toolchain,"let server = ServerConnection()
let userID = await server.connect()"
a95d8e97a8f07381cd4f5d8e2e0ecd848bdc514c049932570f83967bfce0e78f,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Concurrency,1,swift.concurrency.actor|swift.concurrency.async-function,mapped-to-canonical-lessons,pending-editorial-validation,pending-swift-6.4-toolchain,"func connectUser(to server: String) async {
async let userID = fetchUserID(from: server)
async let username = fetchUsern"
291003e58d2f382e110ef15aa78c4c291cd24a135f0856fbe14b65d79974862d,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Control-Flow,1,swift.conditionals.if-else|swift.loops.for-in|swift.switches.exhaustive,mapped-to-canonical-lessons,pending-editorial-validation,pending-swift-6.4-toolchain,"var optionalString: String? = ""Hello""
print(optionalString == nil)
// Prints ""false"".

var optionalName: String? = ""John"
2b4f11835c6a64b3eaae5bbb74eb9d88d6404cd5005a048d23842a7526220358,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Control-Flow,1,swift.conditionals.if-else|swift.loops.for-in|swift.switches.exhaustive,mapped-to-canonical-lessons,pending-editorial-validation,pending-swift-6.4-toolchain,"let interestingNumbers = [
""Prime"": [2, 3, 5, 7, 11, 13],
""Fibonacci"": [1, 1, 2, 3, 5, 8],
""Square"": [1, 4, 9, 16, 25],
"
3f432c9909334b9e368100a73052de27d2b9362e827f384dd7e2edfb299b80b1,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Control-Flow,1,swift.conditionals.if-else|swift.loops.for-in|swift.switches.exhaustive,mapped-to-canonical-lessons,pending-editorial-validation,pending-swift-6.4-toolchain,"if let nickname {
print(""Hey, \(nickname)"")
}
// Doesn't print anything, because nickname is nil."
